GAME_ID,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_SCORE,VISITOR_TEAM_SCORE
0022400355,,1610612744,1610612750,114,106
0022400356,,1610612746,1610612745,106,117
0022400357,,1610612758,1610612762,141,97
0022400358,,1610612747,1610612757,107,98
0022400359,,1610612761,1610612752,108,113
0022401201,,1610612749,1610612753,114,109
0022401203,,1610612760,1610612742,118,104
0022401202,,1610612752,1610612737,100,108
0022401204,,1610612745,1610612744,91,90
0022401205,,1610612738,1610612765,123,99
0022401206,,1610612748,1610612761,114,104
0022401207,,1610612740,1610612758,109,111
0022401208,,1610612739,1610612764,115,105
0022401209,,1610612755,1610612754,107,121
0022401210,,1610612750,1610612747,97,87
0022401211,,1610612763,1610612751,135,119
0022401212,,1610612741,1610612766,109,95
0022401213,,1610612743,1610612746,120,98
0022401214,,1610612762,1610612756,126,134
0022401215,,1610612757,1610612759,116,118
0022401229,,1610612749,1610612737,110,102
0022401230,,1610612760,1610612745,111,96
0022401216,,1610612754,1610612740,119,104
0022401217,,1610612764,1610612738,98,112
0022401227,,1610612753,1610612752,91,100
0022401218,,1610612759,1610612750,92,106
0022401219,,1610612756,1610612757,116,109
0022401228,,1610612744,1610612742,133,143
0022401220,,1610612747,1610612763,116,110
0022401221,,1610612765,1610612748,125,124
0022401222,,1610612766,1610612755,108,121
0022401223,,1610612761,1610612741,121,122
0022401224,,1610612751,1610612739,101,130
0022401225,,1610612758,1610612743,129,130
0022401226,,1610612746,1610612762,144,107
0062400001,,1610612760,1610612749,81,97
0022400360,,1610612765,1610612762,119,126
0022400361,,1610612753,1610612760,99,105
0022400362,,1610612764,1610612766,123,114
0022400363,,1610612738,1610612741,108,117
0022400364,,1610612761,1610612751,94,101
0022400365,,1610612745,1610612740,133,113
0022400366,,1610612763,1610612744,144,93
0022400370,,1610612759,1610612737,133,126
0022400368,,1610612742,1610612746,95,118
0022400369,,1610612756,1610612754,111,120
0022400367,,1610612750,1610612752,107,133
0022400371,,1610612757,1610612743,126,124
0022400372,,1610612758,1610612747,100,113
0022400373,,1610612755,1610612766,108,98
0022400374,,1610612739,1610612749,124,101
0022400375,,1610612748,1610612760,97,104
0022400376,,1610612758,1610612747,99,103
0022400377,,1610612753,1610612748,121,114
0022400378,,1610612737,1610612763,112,128
0022400379,,1610612751,1610612762,94,105
0022400380,,1610612739,1610612755,126,99
0022400381,,1610612741,1610612738,98,123
0022400382,,1610612749,1610612764,112,101
0022400383,,1610612750,1610612744,103,113
0022400384,,1610612740,1610612752,93,104
0022400385,,1610612742,1610612746,113,97
0022400386,,1610612759,1610612757,114,94
0022400387,,1610612756,1610612765,125,133
0022400388,,1610612761,1610612745,110,114
0022400389,,1610612758,1610612754,95,122
0022400390,,1610612740,1610612743,129,132
0022400391,,1610612766,1610612745,101,114
0022400392,,1610612739,1610612762,124,113
0022400393,,1610612753,1610612738,108,104
0022400394,,1610612755,1610612759,111,106
0022400395,,1610612737,1610612750,117,104
0022400396,,1610612748,1610612751,110,95
0022400397,,1610612752,1610612761,139,125
0022400398,,1610612741,1610612749,91,112
0022400399,,1610612763,1610612746,110,114
0022400400,,1610612760,1610612764,123,105
0022400401,,1610612742,1610612757,132,108
0022400402,,1610612743,1610612756,117,90
0022400403,,1610612744,1610612754,105,111
0022400404,,1610612747,1610612765,114,117
0022400405,,1610612752,1610612759,117,114
0022400406,,1610612742,1610612750,99,105
0022400407,,1610612738,1610612755,114,118
0022400408,,1610612744,1610612747,113,115
0022400409,,1610612756,1610612743,110,100
0022400410,,1610612754,1610612760,114,120
0022400411,,1610612753,1610612748,88,89
0022400412,,1610612764,1610612766,113,110
0022400413,,1610612737,1610612741,141,133
0022400414,,1610612763,1610612761,155,126
0022400415,,1610612749,1610612751,105,111
0022400416,,1610612740,1610612745,111,128
0022400417,,1610612757,1610612762,122,120
0022400418,,1610612758,1610612765,113,114
0022400419,,1610612753,1610612752,85,108
0022400420,,1610612738,1610612754,142,105
0022400421,,1610612751,1610612759,87,96
0022400422,,1610612745,1610612750,112,113
0022400423,,1610612740,1610612763,124,132
0022400424,,1610612743,1610612739,135,149
0022400425,,1610612756,1610612742,89,98
0022400426,,1610612746,1610612744,102,92
